Entity,Day,Case fatality rate of COVID-19 (%),Year
Brazil,2021-10-24,2.787138,2021
Brazil,2021-10-25,2.7870986,2021
Brazil,2021-10-26,2.7871635,2021
Brazil,2021-10-27,2.787156,2021
Brazil,2021-10-28,2.7874682,2021
Brazil,2021-10-29,2.7872567,2021
Brazil,2021-10-30,2.7870889,2021
Brazil,2021-10-31,2.7873666,2021
Brazil,2021-11-01,2.7870638,2021
Brazil,2021-11-02,2.7867959,2021
Brazil,2021-11-03,2.7867548,2021
Brazil,2021-11-04,2.7866163,2021
Brazil,2021-11-05,2.7854965,2021
Brazil,2021-11-06,2.7857897,2021
Brazil,2021-11-07,2.7858715,2021
Brazil,2021-11-08,2.7858598,2021
Brazil,2021-11-09,2.7853508,2021
Brazil,2021-11-10,2.7852092,2021
Brazil,2021-11-11,2.7846522,2021
Brazil,2021-11-12,2.7843704,2021
Brazil,2021-11-13,2.783285,2021
Brazil,2021-11-14,2.7826498,2021
Brazil,2021-11-15,2.7841237,2021
Brazil,2021-11-16,2.7838778,2021
Brazil,2021-11-17,2.78381,2021
Brazil,2021-11-18,2.7837877,2021
Brazil,2021-11-19,2.7839677,2021
Brazil,2021-11-20,2.783743,2021
Brazil,2021-11-21,2.7830803,2021
Brazil,2021-11-22,2.7829494,2021
Brazil,2021-11-23,2.7826285,2021
Brazil,2021-11-24,2.7828593,2021
Brazil,2021-11-25,2.7828457,2021
Brazil,2021-11-26,2.7824519,2021
Brazil,2021-11-27,2.782296,2021
Brazil,2021-11-28,2.782161,2021
Brazil,2021-11-29,2.7820346,2021
Brazil,2021-11-30,2.781942,2021
Brazil,2021-12-01,2.7819016,2021
Brazil,2021-12-02,2.7820594,2021
Brazil,2021-12-03,2.7819033,2021
Brazil,2021-12-04,2.7812517,2021
Brazil,2021-12-05,2.7809148,2021
Brazil,2021-12-06,2.7805724,2021
Brazil,2021-12-07,2.7802622,2021
Brazil,2021-12-08,2.7801995,2021
Brazil,2021-12-09,2.78015,2021
Brazil,2021-12-10,2.77994,2021
Brazil,2021-12-11,2.7797058,2021
Brazil,2021-12-12,2.7797878,2021
Brazil,2021-12-13,2.779606,2021
Brazil,2021-12-14,2.7797823,2021
Brazil,2021-12-15,2.7797377,2021
Brazil,2021-12-16,2.779673,2021
Brazil,2021-12-17,2.780347,2021
Brazil,2021-12-18,2.7804396,2021
Brazil,2021-12-19,2.7808566,2021
Brazil,2021-12-20,2.7811294,2021
Brazil,2021-12-21,2.7811723,2021
Brazil,2021-12-22,2.7812252,2021
Brazil,2021-12-23,2.7811096,2021
Brazil,2021-12-24,2.781321,2021
Brazil,2021-12-25,2.7814815,2021
Brazil,2021-12-26,2.7816982,2021
Brazil,2021-12-27,2.7816982,2021
Brazil,2021-12-28,2.7808619,2021
