Entity,Day,Weekly cases,Year
Brazil,2024-08-03,0,2024
Brazil,2024-08-04,0,2024
Brazil,2024-08-05,0,2024
Brazil,2024-08-06,0,2024
Brazil,2024-08-07,0,2024
Brazil,2024-08-08,0,2024
Brazil,2024-08-09,0,2024
Brazil,2024-08-10,0,2024
Brazil,2024-08-11,0,2024
Brazil,2024-08-12,0,2024
Brazil,2024-08-13,0,2024
Brazil,2024-08-14,0,2024
Brazil,2024-08-15,0,2024
Brazil,2024-08-16,0,2024
Brazil,2024-08-17,0,2024
Brazil,2024-08-18,0,2024
Brazil,2024-08-19,0,2024
Brazil,2024-08-20,0,2024
Brazil,2024-08-21,0,2024
Brazil,2024-08-22,0,2024
