Data Source,Indicator,Indicator Measure,Gender,Geography,Denominator,Numerator,Prevalence,Lower 95% CI (Prevalence),Upper 95% CI (Prevalence),Confidence interval type,Release Flag (Prevalence),Comparison with Canada
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Nova Scotia,205,114,55.1,46.2,64.1,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Prince Edward Island,139,86,61.7,52.0,71.4,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Newfoundland And Labrador,157,104,63.2,54.0,72.5,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Yukon (Whitehorse),151,75,44.5,34.8,54.2,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Northwest Territories (Yellowknife),167,105,59.1,49.3,68.9,Wald,C,not significantly different
2021 SCMH,High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,males,Nunavut (Iqaluit),68,42,50.3,35.5,65.1,Wald,A,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Canada,18925,10768,55.7,54.6,56.8,Wald,C,
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,British Columbia,1724,960,51.8,48.9,54.7,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Alberta,1648,845,49.0,46.1,51.9,Wald,C,significantly lower
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Saskatchewan,1371,713,52.0,48.7,55.3,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Manitoba,1485,809,53.0,49.9,56.0,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Ontario,2982,1673,53.4,51.1,55.6,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Quebec,2623,1806,66.8,64.7,68.9,Wald,C,significantly higher
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,New Brunswick,1347,715,49.3,46.1,52.5,Wald,C,significantly lower
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Nova Scotia,1458,805,53.7,50.4,57.0,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Prince Edward Island,1188,701,57.6,53.9,61.2,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Newfoundland And Labrador,1229,777,60.2,56.7,63.6,Wald,C,not significantly different
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Yukon (Whitehorse),774,393,50.0,45.8,54.3,Wald,C,significantly lower
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Northwest Territories (Yellowknife),713,372,49.4,44.8,53.9,Wald,C,significantly lower
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,all adults,Nunavut (Iqaluit),383,199,47.1,40.6,53.7,Wald,C,significantly lower
2020 and 2021 SCMH (combined),High self-rated mental health,Percentage (%) of population aged 18 years and older who reported high self-rated mental health,females,Canada,10810,5762,52.5,51.0,53.9,Wald,C,
