Entity,Day,Total confirmed cases of COVID-19 per million people
Brazil,2021-03-18,55174.438
Brazil,2021-03-19,55603.824
Brazil,2021-03-20,56017.42
Brazil,2021-03-21,56448.08
Brazil,2021-03-22,56824.05
Brazil,2021-03-23,57051.215
Brazil,2021-03-24,57285.6
Brazil,2021-03-25,57677.85
Brazil,2021-03-26,58105.76
Brazil,2021-03-27,58582.008
Brazil,2021-03-28,58982.59
Brazil,2021-03-29,59391.27
Brazil,2021-03-30,59602.04
Brazil,2021-03-31,59787.137
Brazil,2021-04-01,60188.902
Brazil,2021-04-02,60619.883
Brazil,2021-04-03,61053.047
Brazil,2021-04-04,61387.027
Brazil,2021-04-05,61593.938
Brazil,2021-04-06,61743.05
Brazil,2021-04-07,61879.258
Brazil,2021-04-08,62292.84
Brazil,2021-04-09,62733.266
Brazil,2021-04-10,63145.297
Brazil,2021-04-11,63589.016
Brazil,2021-04-12,63930.574
Brazil,2021-04-13,64106.586
Brazil,2021-04-14,64276.746
Brazil,2021-04-15,64667.535
Brazil,2021-04-16,65017.09
Brazil,2021-04-17,65365.027
Brazil,2021-04-18,65772.88
Brazil,2021-04-19,66094.484
Brazil,2021-04-20,66298.86
Brazil,2021-04-21,66444.47
Brazil,2021-04-22,66774.375
Brazil,2021-04-23,67153.44
Brazil,2021-04-24,67368.26
Brazil,2021-04-25,67696.85
Brazil,2021-04-26,68035.1
Brazil,2021-04-27,68189.984
Brazil,2021-04-28,68326.15
Brazil,2021-04-29,68669.17
Brazil,2021-04-30,69048.266
Brazil,2021-05-01,69378.2
Brazil,2021-05-02,69703.125
Brazil,2021-05-03,70021.54
Brazil,2021-05-04,70159.125
Brazil,2021-05-05,70276.19
Brazil,2021-05-06,70644.02
Brazil,2021-05-07,70992.54
Brazil,2021-05-08,71341.46
Brazil,2021-05-09,71716.56
Brazil,2021-05-10,72018.17
Brazil,2021-05-11,72203.19
Brazil,2021-05-12,72323.016
Brazil,2021-05-13,72668.77
Brazil,2021-05-14,73033.44
Brazil,2021-05-15,73388.125
Brazil,2021-05-16,73794.84
Brazil,2021-05-17,74113.47
Brazil,2021-05-18,74308.14
Brazil,2021-05-19,74450.39
Brazil,2021-05-20,74809.13
Brazil,2021-05-21,75185.81
Brazil,2021-05-22,75575.91
Brazil,2021-05-23,75941.35
Brazil,2021-05-24,76305.06
Brazil,2021-05-25,76475.375
Brazil,2021-05-26,76653.68
Brazil,2021-05-27,77002.945
Brazil,2021-05-28,77385.66
Brazil,2021-05-29,77706.46
Brazil,2021-05-30,77943.1
Brazil,2021-05-31,78321.93
Brazil,2021-06-01,78528.87
Brazil,2021-06-02,78673.58
Brazil,2021-06-03,79048.87
Brazil,2021-06-04,79503.45
Brazil,2021-06-05,79899.97
Brazil,2021-06-06,80080.36
Brazil,2021-06-07,80394.266
Brazil,2021-06-08,80582.734
Brazil,2021-06-09,80759.414
Brazil,2021-06-10,81011
Brazil,2021-06-11,81418.734
Brazil,2021-06-12,81837.61
Brazil,2021-06-13,82242.484
Brazil,2021-06-14,82616.7
Brazil,2021-06-15,82797.15
Brazil,2021-06-16,82986.61
Brazil,2021-06-17,83369.91
Brazil,2021-06-18,83823.375
Brazil,2021-06-19,84175.44
Brazil,2021-06-20,84645.38
Brazil,2021-06-21,85036.66
Brazil,2021-06-22,85246.73
Brazil,2021-06-23,85431.7
Brazil,2021-06-24,85849.3
Brazil,2021-06-25,86397.2
Brazil,2021-06-26,86747.18
Brazil,2021-06-27,87124.14
Brazil,2021-06-28,87429.09
Brazil,2021-06-29,87589.35
Brazil,2021-06-30,87721.56
Brazil,2021-07-01,88030.17
Brazil,2021-07-02,88238.61
Brazil,2021-07-03,88548.46
Brazil,2021-07-04,88858.32
Brazil,2021-07-05,89117.73
Brazil,2021-07-06,89249.836
